run,members,downloaded,complete,share_complete
2003-01,496,345,252,0.5080645161290323
2003-02,495,344,253,0.5111111111111111
2003-03,495,345,253,0.5111111111111111
2003-04,495,345,252,0.509090909090909
2003-05,495,345,252,0.509090909090909
2003-06,495,346,255,0.5151515151515151
2003-07,495,346,256,0.5171717171717172
2003-08,495,350,261,0.5272727272727272
2003-09,494,349,261,0.52834008097166
2003-10,494,349,261,0.52834008097166
2003-11,494,349,262,0.5303643724696356
2003-12,494,349,262,0.5303643724696356
2004-01,494,350,263,0.5323886639676113
2004-02,494,350,263,0.5323886639676113
2004-03,494,351,264,0.5344129554655871
2004-04,494,352,266,0.5384615384615384
2004-05,494,352,266,0.5384615384615384
2004-06,494,352,266,0.5384615384615384
2004-07,494,352,265,0.5364372469635628
2004-08,494,352,266,0.5384615384615384
2004-09,494,353,266,0.5384615384615384
2004-10,494,354,267,0.5404858299595142
2004-11,494,354,267,0.5404858299595142
2004-12,494,355,268,0.5425101214574899
2005-01,494,355,269,0.5445344129554656
2005-02,494,355,269,0.5445344129554656
2005-03,494,355,270,0.5465587044534413
2005-04,494,356,270,0.5465587044534413
2005-05,495,356,271,0.5474747474747474
2005-06,495,355,271,0.5474747474747474
2005-07,495,355,272,0.5494949494949495
2005-08,495,355,272,0.5494949494949495
2005-09,495,355,273,0.5515151515151515
2005-10,495,355,273,0.5515151515151515
2005-11,495,356,274,0.5535353535353535
2005-12,495,356,274,0.5535353535353535
2006-01,495,354,272,0.5494949494949495
2006-02,495,354,272,0.5494949494949495
2006-03,495,354,273,0.5515151515151515
2006-04,496,355,273,0.5504032258064516
2006-05,496,355,273,0.5504032258064516
2006-06,496,355,273,0.5504032258064516
2006-07,496,355,273,0.5504032258064516
2006-08,496,355,275,0.5544354838709677
2006-09,496,356,279,0.5625
2006-10,496,356,279,0.5625
2006-11,496,356,281,0.5665322580645161
2006-12,497,357,282,0.5674044265593562
2007-01,497,358,284,0.5714285714285714
2007-02,497,361,286,0.5754527162977867
2007-03,497,361,286,0.5754527162977867
2007-04,497,361,287,0.5774647887323944
2007-05,497,361,290,0.5835010060362174
2007-06,497,362,290,0.5835010060362174
2007-07,497,360,291,0.5855130784708249
2007-08,497,360,289,0.5814889336016097
2007-09,497,360,290,0.5835010060362174
2007-10,497,360,290,0.5835010060362174
2007-11,497,361,291,0.5855130784708249
2007-12,497,359,293,0.5895372233400402
2008-01,497,360,294,0.5915492957746479
2008-02,496,360,294,0.592741935483871
2008-03,497,362,295,0.5935613682092555
2008-04,497,363,299,0.6016096579476862
